City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Peachland,CA,49.7665,-119.7357,93.85,27,43,10.78,scattered clouds
80,Nikolskoye,RU,59.7035,30.7861,46.29,95,100,11.41,light rain
81,Banda Aceh,ID,5.5577,95.3222,78.87,79,85,10.36,overcast clouds
82,Yellowknife,CA,62.456,-114.3525,61.14,62,91,11.54,overcast clouds
83,Lata,PT,40.1629,-8.3327,57.09,97,6,1.77,clear sky
84,Itoman,JP,26.1247,127.6694,84.58,84,75,19.57,broken clouds
85,Catamarca,AR,-28.4696,-65.7852,64.58,28,0,5.32,clear sky
86,Kapaa,US,22.0752,-159.319,84.52,60,20,12.66,few clouds
87,Tiksi,RU,71.6872,128.8694,41.41,93,88,5.59,overcast clouds
88,Rasht,IR,37.2808,49.5832,72.19,53,0,1.83,clear sky
89,Chinsali,ZM,-10.5414,32.0816,61.83,61,57,10.6,broken clouds
90,Watertown,US,42.3709,-71.1828,79.14,43,0,13.8,clear sky
91,Albany,US,42.6001,-73.9662,74.52,63,23,1.01,few clouds
92,Port Blair,IN,11.6667,92.75,81.27,82,99,5.97,overcast clouds
93,Geraldton,AU,-28.7667,114.6,48.61,71,2,5.75,clear sky
94,Neiafu,TO,-18.65,-173.9833,79.48,73,40,2.3,scattered clouds
95,Codrington,AU,-38.2667,141.9667,49.23,76,100,8.43,overcast clouds
96,Dikson,RU,73.5069,80.5464,40.24,90,92,13.69,overcast clouds
97,Rocha,UY,-34.4833,-54.3333,54.36,93,85,6.35,overcast clouds
98,San Lawrenz,MT,36.0553,14.204,79.86,75,98,1.01,overcast clouds
99,Mulchen,CL,-37.7167,-72.2333,52.66,74,51,4.14,broken clouds
100,Gigmoto,PH,13.7796,124.39,82.33,83,91,7.34,overcast clouds
101,Shelburne,CA,44.0787,-80.2041,71.76,64,35,14.32,scattered clouds
102,Rio Gallegos,AR,-51.6226,-69.2181,45.73,62,98,13.65,overcast clouds
103,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,84,76,5.97,broken clouds
104,Piacabucu,BR,-10.4056,-36.4344,71.74,86,93,11.45,overcast clouds
105,Praia,CV,14.9215,-23.5087,79.03,80,100,7.72,overcast clouds
106,Bazarnyye Mataki,RU,54.8833,49.9333,65.08,60,58,7.65,broken clouds
107,Tiznit,MA,29.5833,-9.5,82.94,38,23,0.4,few clouds
108,Kevsala,RU,45.7983,42.6903,79.16,29,10,5.99,clear sky
109,Acari,PE,-15.4311,-74.6158,64.24,70,15,6.62,few clouds
110,Kahului,US,20.8947,-156.47,91.42,51,20,18.41,few clouds
111,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,8.05,few clouds
112,Barcelos,PT,41.5388,-8.6151,65.84,90,100,2.55,overcast clouds
113,Sovetskiy,RU,61.3614,63.5842,40.21,91,84,5.86,broken clouds
114,Pilar,BR,-9.5972,-35.9567,69.73,95,67,4.54,broken clouds
115,Atar,MR,20.5169,-13.0499,87.94,54,62,7.29,light rain
116,Hofn,IS,64.2539,-15.2082,53.4,98,100,25.66,moderate rain
117,Airai,TL,-8.9266,125.4092,63.54,63,70,3.0,broken clouds
118,Tasiilaq,GL,65.6145,-37.6368,37.56,96,91,8.3,overcast clouds
119,Provideniya,RU,64.3833,-173.3,48.36,93,100,8.99,light intensity shower rain
120,Mahebourg,MU,-20.4081,57.7,68.5,78,9,5.12,clear sky
121,Rudnyy,KZ,52.9594,63.1206,62.83,39,23,6.67,few clouds
