City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cuamba,MZ,2022-08-28 00:31:41,-14.8031,36.5372,291.73,53,0,2.26
68,Tuktoyaktuk,CA,2022-08-28 00:31:41,69.4541,-133.0374,285.15,94,40,2.57
69,San Cristobal,VE,2022-08-28 00:31:42,7.7669,-72.225,297.25,96,100,1.07
70,Znamenskoye,RU,2022-08-28 00:31:43,57.1281,73.8282,282.17,82,98,2.6
71,Saint-Philippe,RE,2022-08-28 00:31:43,-21.3585,55.7679,292.16,87,46,4.79
72,Codrington,AU,2022-08-28 00:31:44,-38.2667,141.9667,289.3,67,100,5.38
73,Mabaruma,GY,2022-08-28 00:31:45,8.2,-59.7833,296.8,91,1,1.21
74,Mbini,GQ,2022-08-28 00:31:45,1.574,9.6134,296.47,85,100,2.37
75,Hasaki,JP,2022-08-28 00:31:46,35.7333,140.8333,295.53,87,93,10.15
76,Tari,NG,2022-08-28 00:31:47,12.4086,4.4914,296.77,85,100,4.39
77,Bodden Town,KY,2022-08-28 00:31:47,19.2833,-81.25,303.15,77,20,3.09
78,Gao,ML,2022-08-28 00:31:48,16.6362,1.637,302.86,51,67,4.54
79,Bambanglipuro,ID,2022-08-28 00:31:49,-7.95,110.2833,298.27,71,100,5.01
80,Chuy,UY,2022-08-28 00:31:49,-33.6971,-53.4616,282.31,70,49,8.26
81,Leningradskiy,RU,2022-08-28 00:31:50,69.3833,178.4167,275.93,92,100,2.9
82,Tingi,TZ,2022-08-28 00:31:51,-11.3,35.0333,287.44,70,0,1.84
83,Reitz,ZA,2022-08-28 00:31:51,-27.8014,28.4273,283.44,25,0,1.05
84,Cayenne,GF,2022-08-28 00:30:04,4.9333,-52.3333,297.17,94,75,0.0
85,Fohnsdorf,AT,2022-08-28 00:31:52,47.2183,14.6819,289.64,94,75,0.51
86,Huarmey,PE,2022-08-28 00:31:53,-10.0681,-78.1522,290.27,83,50,4.88
87,Ranong,TH,2022-08-28 00:31:53,9.9658,98.6348,298.11,81,29,2.13
88,Hambantota,LK,2022-08-28 00:31:54,6.1241,81.1185,297.34,94,20,2.06
89,Illela,NG,2022-08-28 00:31:55,13.7292,5.2975,297.81,79,99,4.04
90,Samarai,PG,2022-08-28 00:31:55,-10.6167,150.6667,300.33,81,35,6.04
91,Pareora,NZ,2022-08-28 00:31:56,-44.4871,171.2132,284.36,89,98,1.49
92,Flinders,AU,2022-08-28 00:32:57,-34.5833,150.8552,291.14,77,7,3.2
93,Sawtell,AU,2022-08-28 00:32:57,-30.3833,153.1,292.16,63,100,3.09
94,Ponta Do Sol,PT,2022-08-28 00:32:58,32.6667,-17.1,294.5,57,27,1.81
95,Thompson,CA,2022-08-28 00:30:44,55.7435,-97.8558,299.24,44,20,3.6
96,Chamba,IN,2022-08-28 00:32:59,32.5667,76.1333,296.29,87,54,1.31
97,Saldanha,ZA,2022-08-28 00:33:00,-33.0117,17.9442,280.18,72,0,5.15
98,Paamiut,GL,2022-08-28 00:33:00,61.994,-49.6678,279.41,70,90,2.99
99,Atuona,PF,2022-08-28 00:33:01,-9.8,-139.0333,298.36,71,2,9.45
100,Portland,US,2022-08-28 00:31:15,45.5234,-122.6762,297.76,48,40,5.14
101,San Jose,US,2022-08-28 00:32:42,37.3394,-121.895,304.18,53,20,7.2
102,Dwarka,IN,2022-08-28 00:33:03,22.2394,68.9678,298.6,80,2,4.86
103,Moron,AR,2022-08-28 00:33:03,-34.6534,-58.6198,284.01,34,0,5.95
104,Saint-Francois,FR,2022-08-28 00:33:04,46.4154,3.9054,289.08,77,0,0.0
105,Necochea,AR,2022-08-28 00:30:04,-38.5473,-58.7368,279.71,55,91,9.13
106,Marienburg,PL,2022-08-28 00:33:05,54.0359,19.0266,294.2,43,0,2.69
107,Kavieng,PG,2022-08-28 00:33:07,-2.5744,150.7967,301.57,76,93,6.08
108,Bambous Virieux,MU,2022-08-28 00:33:08,-20.3428,57.7575,294.94,94,75,6.69
109,Hilliard,US,2022-08-28 00:33:08,40.0334,-83.1582,298.09,70,0,3.09
110,Geraldton,AU,2022-08-28 00:31:19,-28.7667,114.6,285.38,94,100,3.6
111,Rabo De Peixe,PT,2022-08-28 00:33:09,37.8,-25.5833,297.19,81,75,5.14
112,Pokosnoye,RU,2022-08-28 00:33:10,55.5258,101.0536,280.6,79,100,6.87
